year,run_length,rating,num_raters,num_reviews,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Fantasy,History,Horror,Music,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,release_year,country,Australia,Brazil,Canada,China,France,Germany,Hungary,India,Ireland,Italy,Japan,Kazakhstan,Malaysia,Mexico,Netherlands,Poland,Portugal,South Korea,Soviet Union,Sweden,Turkey,UK,USA
1980,146,8.4,860290,1805,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1980,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1979,117,8.4,762793,1423,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1979,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013,116,7.0,586801,1125,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2013,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1960,109,8.5,580951,1263,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1960,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2004,99,7.9,499244,971,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2004,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,104,7.7,465577,1566,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2017,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,135,7.3,437678,1914,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2017,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013,112,7.5,427067,1054,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2013,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,117,7.3,404539,986,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2017,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2018,90,7.5,385782,2882,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,2018,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2004,103,7.6,369825,1612,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2004,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2002,113,7.6,367391,1513,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,2003,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2008,85,7.0,365910,2336,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2008,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2011,95,7.0,363506,1190,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2012,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1982,109,8.1,356786,1095,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1982,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1973,122,8.0,352076,1220,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1973,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2007,116,7.3,335791,832,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2007,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2001,104,7.6,328624,1147,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2001,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1999,105,7.3,320861,1023,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1999,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2002,115,7.1,313252,1666,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2002,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2004,122,6.8,301510,649,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2004,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2005,121,7.0,296689,1074,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2005,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1994,123,7.6,287602,462,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1994,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,103,7.2,280919,752,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,2016,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1996,108,7.2,279303,664,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1996,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1996,111,7.2,276753,969,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1996,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2007,126,7.1,274365,1184,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2007,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1992,114,6.5,269938,903,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1992,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2010,103,6.8,269839,885,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2011,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2018,115,6.9,267574,1909,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2018,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2018,124,6.6,262311,2765,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,2018,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2007,100,7.0,253591,789,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2007,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2007,104,6.8,250909,635,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2007,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,122,6.4,245959,2058,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,2017,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2002,100,6.7,242106,1175,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2002,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2012,113,6.2,241602,528,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2012,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1998,120,7.1,238439,631,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1998,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2004,101,7.3,229395,1102,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2004,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2005,93,6.6,227842,885,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2005,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1999,81,6.5,226133,3515,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1999,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2000,98,6.7,223423,727,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2000,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1997,109,6.2,222998,726,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1997,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2000,109,7.1,221434,825,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2000,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1978,91,7.8,220718,1434,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1978,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2007,86,6.3,216058,1262,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2009,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,134,7.3,215863,548,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2016,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013,98,6.9,215658,378,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,2013,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2018,127,7.3,214947,3086,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,2018,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2012,110,6.8,212002,667,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2012,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2006,125,6.5,210033,1796,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2006,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,88,7.1,209689,639,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,2016,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,116,6.9,204733,3049,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2019,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2014,100,6.8,201008,997,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2015,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,104,6.6,199775,1042,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,2017,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1984,91,7.5,198628,784,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1984,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013,85,5.7,197141,736,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2013,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2005,99,7.2,195614,1226,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2006,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2002,117,6.7,195387,574,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2002,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013,88,6.1,191273,345,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2013,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1984,106,7.3,190570,318,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1984,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2014,94,6.8,188571,847,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2014,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2009,123,6.9,186072,489,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2009,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2015,92,6.9,185878,982,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,2016,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1992,128,7.4,185695,744,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1992,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1968,137,8.0,185587,557,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1968,France,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,99,6.5,184255,782,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2009,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,169,6.6,183539,2182,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2019,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2004,94,6.2,182625,695,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2004,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,121,6.6,182167,2074,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,2017,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2004,101,5.6,180961,1345,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2004,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1981,85,7.5,180957,833,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1983,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2007,94,6.3,180099,383,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2007,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2007,191,7.5,175669,534,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2007,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2006,108,6.2,174387,646,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2006,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2012,95,6.4,171207,568,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2012,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1998,84,7.4,166806,610,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1998,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2005,94,5.9,165882,1566,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2006,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013,100,6.2,165839,365,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2013,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1963,119,7.7,165748,545,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1963,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
